No,オーダーID,オーダー日付,日付キー,都道府県,市,地域,郵便番号,連絡先,顧客名,顧客ID,プロダクト,ライセンス,売上,品数,ディスカウント,利益
1,中部-2020-152156,2020/11/09,20201109,岐阜,岐阜市,中部,5008176,Nathan Bell,ENEOS,1017,Marketing Suite,16GRM07R1K,261.96,2,0,41.9136
2,中部-2020-152156,2020/11/09,20201109,岐阜,岐阜市,中部,5008176,Nathan Bell,ENEOS,1017,FinanceHub,QLIW57KZUV,731.94,3,0,219.582
3,関東-2020-138688,2020/06/13,20200613,東京,千代田区,関東,1006066,Deirdre Bailey,ソーラーフロンティア,1056,FinanceHub,JI6BVL70HQ,14.62,2,0,6.8714
4,関西-2019-108966,2019/10/11,20191011,兵庫,川西市,関西,6660148,Zoe Hodges,エクソル,1031,ContactMatcher,DE9GJKGD44,957.5775,5,0.45,-383.031
5,関西-2019-108966,2019/10/11,20191011,兵庫,川西市,関西,6660148,Zoe Hodges,エクソル,1031,Marketing Suite - Gold,OIF7NY23WD,22.368,2,0.2,2.5164
6,関東-2018-115812,2018/06/09,20180609,東京,千代田区,関東,1000000,Thomas Hodges,みずほ,1065,SaaS Connector Pack,8RM88WFOAE,48.86,7,0,14.1694
7,関東-2018-115812,2018/06/09,20180609,東京,千代田区,関東,1000000,Thomas Hodges,みずほ,1065,ChatBot Plugin,4SYTVM0746,7.28,4,0,1.9656
8,関東-2018-115812,2018/06/09,20180609,東京,千代田区,関東,1000000,Thomas Hodges,みずほ,1065,Site Analytics,07842ES7DY,907.152,6,0.2,90.7152
9,関東-2018-115812,2018/06/09,20180609,東京,千代田区,関東,1000000,Thomas Hodges,みずほ,1065,ContactMatcher,XPBOBXWXA3,18.504,3,0.2,5.7825
10,関東-2018-115812,2018/06/09,20180609,東京,千代田区,関東,1000000,Thomas Hodges,みずほ,1065,OneView,71J8P9Z1P0,114.9,5,0,34.47
11,関東-2018-115812,2018/06/09,20180609,東京,千代田区,関東,1000000,Thomas Hodges,みずほ,1065,ContactMatcher,43NZ37VE2D,1706.184,9,0.2,85.3092
12,関東-2018-115812,2018/06/09,20180609,東京,千代田区,関東,1000000,Thomas Hodges,みずほ,1065,Site Analytics,JG14MOU94R,911.424,4,0.2,68.3568
13,関西-2021-114412,2021/04/16,20210416,京都,京都市,関西,5200461,Adrian Hunter,Engie,1062,Support,FE5QJBIUN1,15.552,3,0.2,5.4432
14,関東-2020-161389,2020/12/06,20201206,神奈川,横浜市,関東,2200012,Adrian Abraham,Microsoft,1066,ContactMatcher,COK66F8IC1,407.976,3,0.2,132.5922
15,九州-2019-118983,2019/11/22,20191122,福岡,筑後市,九州,8330037,Emily Morrison,ファイザー,1074,OneView,D8FGC56NNX,68.81,5,0.8,-123.858
16,九州-2019-118983,2019/11/22,20191122,福岡,筑後市,九州,8330037,Emily Morrison,ファイザー,1074,ContactMatcher,NRKT5R1A1G,2.544,3,0.8,-3.816
17,関西-2018-105893,2018/11/11,20181111,三重,鈴鹿市,関西,5100258,Claire Welch,トヨタ,1087,Marketing Suite - Gold,K5XHYWZ1OV,665.88,6,0,13.3176
18,中部-2018-167164,2018/05/13,20180513,新潟,糸魚川市,中部,9410022,Carol Campbell,ファーストリテイリング,1047,Marketing Suite - Gold,LWWKLPY4AU,55.5,2,0,9.99
19,関東-2018-143336,2018/08/27,20180827,東京,港区,関東,1055107,Blake Hughes,北洋銀行,1099,ChatBot Plugin,ZYL9KDTY68,8.56,2,0,2.4824
20,関東-2018-143336,2018/08/27,20180827,東京,港区,関東,1055131,Blake Hughes,北洋銀行,1099,Site Analytics,I54O29EW1T,213.48,3,0.2,16.011
21,関東-2018-143336,2018/08/27,20180827,東京,港区,関東,1055131,Blake Hughes,北洋銀行,1099,ContactMatcher,E3TF1V9DE8,22.72,4,0.2,7.384
22,中部-2020-137330,2020/12/10,20201210,山梨,甲府,中部,4000828,Melanie Sharp,ヤマダ電機,1048,ChatBot Plugin,B83G92QX65,19.46,7,0,5.0596
23,中部-2020-137330,2020/12/10,20201210,山梨,甲府,中部,4000828,Melanie Sharp,ヤマダ電機,1048,OneView,VWDIYAB44Z,60.34,7,0,15.6884
24,中部-2021-156909,2021/07/17,20210717,愛知,名古屋市,中部,4620832,Luke Bower,イオン,1025,FinanceHub,AJOASBK55N,71.372,2,0.3,-1.0196
25,中部-2019-106320,2019/09/25,20190925,新潟,新潟市,中部,9500944,Jonathan Ferguson,3M,1063,ContactMatcher,P1I8X35CUZ,1044.63,3,0,240.2649
26,関東-2020-121755,2020/01/16,20200116,東京,千代田区,関東,1006025,Sam Parsons,パナソニック,1043,ContactMatcher,NRCR8EBL62,11.648,2,0.2,4.2224
27,関東-2020-121755,2020/01/16,20200116,東京,千代田区,関東,1006025,Sam Parsons,パナソニック,1043,Data Smasher,PV9U9D3A6O,90.57,3,0,11.7741
28,中部-2019-150630,2019/09/17,20190917,愛知,名古屋市,中部,4620832,Neil Gill,Intel,1051,Marketing Suite,F8G07TWQ17,3083.43,7,0.5,-1665.0522
29,中部-2019-150630,2019/09/17,20190917,愛知,名古屋市,中部,4620832,Neil Gill,Intel,1051,ContactMatcher,BGL4P1U2CZ,9.618,2,0.7,-7.0532
30,中部-2019-150630,2019/09/17,20190917,愛知,名古屋市,中部,4620832,Neil Gill,Intel,1051,SaaS Connector Pack,B5H6S070N8,124.2,3,0.2,15.525
31,中部-2019-150630,2019/09/17,20190917,愛知,名古屋市,中部,4620832,Neil Gill,Intel,1051,SaaS Connector Pack - Gold,D9635UBJOG,3.264,2,0.2,1.1016
32,中部-2019-150630,2019/09/17,20190917,愛知,名古屋市,中部,4620832,Neil Gill,Intel,1051,ChatBot Plugin,6SQI2HAZ4C,86.304,6,0.2,9.7092
33,中部-2019-150630,2019/09/17,20190917,愛知,名古屋市,中部,4620832,Neil Gill,Intel,1051,ContactMatcher,GPQ0TDTGIM,6.858,6,0.7,-5.715
34,中部-2019-150630,2019/09/17,20190917,愛知,名古屋市,中部,4620832,Neil Gill,Intel,1051,ChatBot Plugin,4YZZHFC212,15.76,2,0.2,3.546
35,九州-2021-107727,2021/10/20,20211020,福岡,福岡市,九州,8150031,Amelia Campbell,住友金属鉱山,1083,Support,77YXBOVGDH,29.472,3,0.2,9.9468
36,九州-2020-117590,2020/12/09,20201209,福岡,北九州市,九州,8030828,Chloe Short,リンレイ,1077,Site Analytics,GCT4GPUBVT,1097.544,7,0.2,123.4737
37,九州-2020-117590,2020/12/09,20201209,福岡,北九州市,九州,8030828,Chloe Short,リンレイ,1077,SaaS Connector Pack,TKN9K1JO1D,190.92,5,0.6,-147.963
38,九州-2019-117415,2019/12/27,20191227,福岡,福岡市,九州,8150031,Jasmine Metcalfe,ローソン銀行,1101,SaaS Connector Pack - Gold,2F0NIUM5X9,113.328,9,0.2,35.415
39,九州-2019-117415,2019/12/27,20191227,福岡,福岡市,九州,8150031,Jasmine Metcalfe,ローソン銀行,1101,Marketing Suite,FBXEM82WEZ,532.3992,3,0.32,-46.9764
40,九州-2019-117415,2019/12/27,20191227,福岡,福岡市,九州,8150031,Jasmine Metcalfe,ローソン銀行,1101,FinanceHub,TS9MS0FQVU,212.058,3,0.3,-15.147
41,九州-2019-117415,2019/12/27,20191227,福岡,福岡市,九州,8150031,Jasmine Metcalfe,ローソン銀行,1101,Site Analytics,HDJMRDRWK6,371.168,4,0.2,41.7564
42,九州-2021-120999,2021/09/11,20210911,長崎,西海市,九州,8572427,Karen Mathis,東邦ガス,1058,Site Analytics,QINRKET2EK,147.168,4,0.2,16.5564
43,関東-2020-101343,2020/07/18,20200718,東京,千代田区,関東,1006025,Dylan Dickens,パナソニック,1043,Marketing Suite - Gold,DFHNNSTX0P,77.88,2,0,3.894
44,関西-2021-139619,2021/09/20,20210920,兵庫,加古川市,関西,6750021,Sophie Lewis,IBM,1015,Marketing Suite - Gold,616XTGD7Y3,95.616,2,0.2,9.5616
45,中部-2020-118255,2020/03/12,20200312,静岡,静岡市,中部,4200948,Gavin Mitchell,Sony,1028,Data Smasher,F4GWWGL9KR,45.98,2,0,19.7714
46,中部-2020-118255,2020/03/12,20200312,静岡,静岡市,中部,4200948,Gavin Mitchell,Sony,1028,ContactMatcher,JFCUNTQD5P,17.46,2,0,8.2062
47,関東-2018-146703,2018/10/20,20181020,茨城,守谷市,関東,3020126,Katherine Dowd,SMBC,1068,Marketing Suite - Gold,S2GUIRDRRI,211.96,4,0,8.4784
48,中国-2020-169194,2020/06/21,20200621,広島,尾道市,中国,7222432,Harry Brown,ゆうちょ銀行,1011,Data Smasher,2L5WUVH1UW,45,3,0,4.95
49,中国-2020-169194,2020/06/21,20200621,広島,尾道市,中国,7222432,Harry Brown,ゆうちょ銀行,1011,Site Analytics,O0QZ4DQ2DW,21.8,2,0,6.104
50,九州-2019-115742,2019/04/18,20190418,鹿児島,鹿屋市,九州,8930004,Brian Dickens,パナソニック,1043,ContactMatcher,4A8Q6U643K,38.22,6,0,17.9634
